mode,embedding_name,embedding_label,embedding_family,embedding_source,algorithm,k,eps,min_samples,n_neighbors,assign_labels,n_init,max_iter,metric,evaluation_metric,linkage,n_docs,affinity,gamma,silhouette,davies_bouldin,ari,dunn,metrics_eligible,n_clusters,n_clustered_docs,n_noise,noise_ratio,coverage_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_median,cluster_size_std,largest_cluster_ratio,largest_cluster_doc_ratio,tiny_cluster_count,tiny_cluster_doc_ratio,runtime_sec,selection_eligible,analysis_eligible
full,fasttext,fastText wiki-news 300,static,fasttext-wiki-news-subwords-300,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17982,,,0.008016335777938366,3.961495580375229,0.11131769569291211,0.0942310586942472,1.0,10.0,17982.0,0.0,0.0,1.0,533.0,4447.0,1798.2,1411.5,1204.6986179123808,0.2473028584139695,0.2473028584139695,0.0,0.0,44.20301008224487,True,True
full,fasttext,fastText wiki-news 300,static,fasttext-wiki-news-subwords-300,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17982,,,0.005063226446509361,3.8422583384634468,0.1396867498968941,0.09915435235543961,1.0,15.0,17982.0,0.0,0.0,1.0,55.0,2969.0,1198.8,1183.0,783.6966419901686,0.16510955399844288,0.16510955399844288,0.0,0.0,43.778682708740234,True,True
full,fasttext,fastText wiki-news 300,static,fasttext-wiki-news-subwords-300,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17982,,,-0.0013217803789302707,3.9801386893968167,0.14961707902916752,0.10344806707548242,1.0,25.0,17982.0,0.0,0.0,1.0,10.0,2056.0,719.28,639.0,465.5769341365613,0.11433655878100323,0.11433655878100323,0.0,0.0,44.67278432846069,True,True
full,fasttext,fastText wiki-news 300,static,fasttext-wiki-news-subwords-300,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17982,,,-0.0029918584041297436,3.9977553961440715,0.14645325796405234,0.10344806707548242,1.0,30.0,17982.0,0.0,0.0,1.0,10.0,1372.0,599.4,482.0,362.79494667557503,0.07629852074296518,0.07629852074296518,0.0,0.0,44.939637660980225,True,True
full,fasttext,fastText wiki-news 300,static,fasttext-wiki-news-subwords-300,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17982,,,-0.0030360629316419363,4.060359087035481,0.14296674719919147,0.09915435235543961,1.0,20.0,17982.0,0.0,0.0,1.0,55.0,2056.0,899.1,887.0,527.0345244858253,0.11433655878100323,0.11433655878100323,0.0,0.0,44.13088083267212,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,10,,0,0,,0,0,cosine,cosine,average,17986,,,0.038392771035432816,4.101764789489568,0.14770511672767317,0.23070016835384122,1.0,10.0,17986.0,0.0,0.0,1.0,6.0,7317.0,1798.6,534.0,2515.8926924652405,0.40681641276548425,0.40681641276548425,0.0,0.0,46.41832971572876,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,15,,0,0,,0,0,cosine,cosine,average,17986,,,0.03191686049103737,3.8281465716649534,0.16677202797613225,0.23070016835384122,1.0,15.0,17986.0,0.0,0.0,1.0,3.0,6537.0,1199.0666666666666,215.0,2053.6341597816836,0.36344934949405094,0.36344934949405094,3.0,0.0006115867897253419,46.44790458679199,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17986,,,0.026754632592201233,4.038514414472892,0.2393767583762735,0.21856496531110917,1.0,30.0,17986.0,0.0,0.0,1.0,3.0,4941.0,599.5333333333333,66.5,1148.8031085535165,0.2747136661848104,0.2747136661848104,3.0,0.0006115867897253419,46.807817697525024,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17986,,,0.026192571967840195,3.9907505609578644,0.16589854669329215,0.23070016835384122,1.0,20.0,17986.0,0.0,0.0,1.0,3.0,6537.0,899.3,96.5,1838.7548259623957,0.36344934949405094,0.36344934949405094,3.0,0.0006115867897253419,46.76556158065796,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17986,,,0.02370188571512699,5.3588249928721154,0.26365743061887825,0.3815914367090378,1.0,10.0,17986.0,0.0,0.0,1.0,656.0,3303.0,1798.6,1672.0,873.0865020145484,0.1836428333148004,0.1836428333148004,0.0,0.0,47.81073355674744,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17986,,,0.022834373638033867,4.0484514559655755,0.19141421075425344,0.21856496531110917,1.0,25.0,17986.0,0.0,0.0,1.0,3.0,5920.0,719.44,66.0,1467.431336178971,0.3291448904703658,0.3291448904703658,3.0,0.0006115867897253419,46.81930685043335,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17986,,,0.015044979751110077,5.315622319704421,0.28790272249934973,0.382070463135816,1.0,15.0,17986.0,0.0,0.0,1.0,401.0,2265.0,1199.0666666666666,1070.0,598.1225589756295,0.12593127988435449,0.12593127988435449,0.0,0.0,47.712966203689575,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17986,,,0.014295333996415138,4.92344122366318,0.2868024503835819,0.3369777587742421,1.0,25.0,17986.0,0.0,0.0,1.0,187.0,1999.0,719.44,578.0,440.11317453582325,0.1111419993328144,0.1111419993328144,0.0,0.0,48.65328073501587,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17986,,,0.014274333603680134,4.997269000422722,0.30077128387392915,0.3369777587742421,1.0,30.0,17986.0,0.0,0.0,1.0,187.0,1458.0,599.5333333333333,557.5,284.42570598000145,0.08106304903814078,0.08106304903814078,0.0,0.0,48.420273542404175,True,True
full,sbert,SBERT MiniLM-L6-v2,transformer,sentence-transformers/all-MiniLM-L6-v2,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17986,,,0.013088556006550789,4.99401981757284,0.28520100710327995,0.382070463135816,1.0,20.0,17986.0,0.0,0.0,1.0,187.0,2265.0,899.3,635.5,567.4314143577177,0.12593127988435449,0.12593127988435449,0.0,0.0,48.02702307701111,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03427673374762334,3.7400946020824692,0.14841246079494463,0.22529370683297137,1.0,30.0,17980.0,0.0,0.0,1.0,80.0,1994.0,599.3333333333334,377.0,454.83545254178335,0.11090100111234705,0.11090100111234705,0.0,0.0,19.82309055328369,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03358938961443611,3.721756702593826,0.12579385947944569,0.22529370683297137,1.0,20.0,17980.0,0.0,0.0,1.0,80.0,4650.0,899.0,463.5,997.7711160381423,0.25862068965517243,0.25862068965517243,0.0,0.0,19.34450054168701,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03342612509675868,3.6426052441490473,0.11639473518873895,0.22529370683297137,1.0,25.0,17980.0,0.0,0.0,1.0,80.0,4406.0,719.2,383.0,822.1088005854212,0.2450500556173526,0.2450500556173526,0.0,0.0,19.977860689163208,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03026685360711922,4.133281684270449,0.12048316060310837,0.2766079542138971,1.0,15.0,17980.0,0.0,0.0,1.0,242.0,4975.0,1198.6666666666667,1035.0,1156.3636490693093,0.2766963292547275,0.2766963292547275,0.0,0.0,18.762230396270752,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.024919987897698774,4.229687600635109,0.09446189213614647,0.2766079542138971,1.0,10.0,17980.0,0.0,0.0,1.0,296.0,6993.0,1798.0,1112.0,1998.805293168897,0.3889321468298109,0.3889321468298109,0.0,0.0,18.967357397079468,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17980,,,0.008410803325699014,3.1666380829876575,0.09695924438821252,0.08649320273018808,1.0,30.0,17980.0,0.0,0.0,1.0,17.0,7202.0,599.3333333333334,139.5,1341.1732757386555,0.40055617352614015,0.40055617352614015,0.0,0.0,19.9725022315979,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,cosine,cosine,average,17980,,,0.0063510055317758125,3.2518167163719185,0.031153100659258977,0.08486288266033447,1.0,10.0,17980.0,0.0,0.0,1.0,37.0,12114.0,1798.0,94.0,3619.987348044189,0.6737486095661847,0.6737486095661847,0.0,0.0,19.380894899368286,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17980,,,0.0041871292104055,3.2030831885650857,0.06808829351261654,0.08649320273018808,1.0,20.0,17980.0,0.0,0.0,1.0,17.0,9079.0,899.0,141.5,1978.2864554962712,0.5049499443826474,0.5049499443826474,0.0,0.0,19.760646104812622,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17980,,,0.0024647575721004305,3.1658013712251374,0.07295494990517316,0.08649320273018808,1.0,25.0,17980.0,0.0,0.0,1.0,17.0,8520.0,719.2,136.0,1691.617474490022,0.4738598442714127,0.4738598442714127,0.0,0.0,19.789727449417114,True,True
full,tfidf_baseline,Baseline,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,cosine,cosine,average,17980,,,-0.002996106828139809,3.30279056447887,0.04311177296274138,0.08649320273018808,1.0,15.0,17980.0,0.0,0.0,1.0,37.0,10865.0,1198.6666666666667,128.0,2745.029730662716,0.6042825361512792,0.6042825361512792,0.0,0.0,19.502506971359253,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03280683930184047,3.5590711321809443,0.12223681371803899,0.20183494908774618,1.0,30.0,17980.0,0.0,0.0,1.0,79.0,3739.0,599.3333333333334,428.5,646.2429539697555,0.20795328142380423,0.20795328142380423,0.0,0.0,19.50744342803955,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.030356798949219707,3.472593896065605,0.11760502715968339,0.20183494908774618,1.0,25.0,17980.0,0.0,0.0,1.0,79.0,4419.0,719.2,434.0,888.096706445869,0.24577308120133481,0.24577308120133481,0.0,0.0,19.648088932037354,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.02982932638552122,3.9886977733373143,0.12133559096965808,0.22749357108394092,1.0,15.0,17980.0,0.0,0.0,1.0,262.0,5036.0,1198.6666666666667,555.0,1218.6108849378002,0.28008898776418245,0.28008898776418245,0.0,0.0,18.984338998794556,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.028660045782348886,3.6785321725777465,0.12099124082151161,0.20253794500575972,1.0,20.0,17980.0,0.0,0.0,1.0,262.0,4721.0,899.0,483.0,1032.0755786278444,0.2625695216907675,0.2625695216907675,0.0,0.0,19.336323261260986,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.026280697457559087,4.441950109064691,0.11444296514567102,0.23317026657243559,1.0,10.0,17980.0,0.0,0.0,1.0,395.0,5459.0,1798.0,1208.0,1681.922233636264,0.303615127919911,0.303615127919911,0.0,0.0,18.65791082382202,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,cosine,cosine,average,17980,,,0.016501332607197477,3.429909800287889,0.055873381728567664,0.08977370189251345,1.0,15.0,17980.0,0.0,0.0,1.0,40.0,9804.0,1198.6666666666667,163.0,2408.0265963832067,0.5452725250278087,0.5452725250278087,0.0,0.0,19.480197191238403,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17980,,,0.014570665007203276,3.3383820390094656,0.08542082576099397,0.08977370189251345,1.0,20.0,17980.0,0.0,0.0,1.0,24.0,7884.0,899.0,182.0,1745.691410301374,0.4384872080088988,0.4384872080088988,0.0,0.0,19.416775465011597,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17980,,,0.007873285851733858,3.207979821629649,0.09463239927909678,0.08977370189251345,1.0,30.0,17980.0,0.0,0.0,1.0,24.0,7199.0,599.3333333333334,166.5,1327.92583460908,0.4003893214682981,0.4003893214682981,0.0,0.0,19.80200719833374,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17980,,,0.007412272298565663,3.2523062426214504,0.08903038295201665,0.08977370189251345,1.0,25.0,17980.0,0.0,0.0,1.0,24.0,7547.0,719.2,163.0,1517.026301683659,0.41974416017797556,0.41974416017797556,0.0,0.0,19.490846633911133,True,True
